milk_id,timestamp,storage_hours,current_temperature_c,avg_temperature_c,min_temperature_c,max_temperature_c,temperature_std_c,time_above_6c_hours,time_above_8c_hours,num_temperature_excursions,longest_excursion_hours,cumulative_temperature_exposure,temperature_trend,remaining_shelf_life_hours,safety_status
MILK_06904,2026-08-30T10:00:00,11,2.37,2.4,2.01,3.32,2.28,0,0,0,0,26.4,1.2094,75.74,SAFE
MILK_06905,2026-08-25T02:00:00,43,7.09,5.39,3.8,7.35,0.33,14,0,1,4,231.81,0.619,48.56,UNSAFE
MILK_06906,2026-08-18T09:00:00,29,22.99,19.61,17.25,23.36,1.13,19,11,4,10,568.68,-0.8305,0.0,UNSAFE
MILK_06907,2026-08-18T11:00:00,83,4.56,4.29,3.64,4.87,2.17,0,0,0,0,355.72,0.3641,25.33,CAUTION
MILK_06908,2026-08-10T17:00:00,62,10.52,5.54,4.32,11.17,1.17,58,7,3,50,343.3,-0.8171,79.67,UNSAFE
MILK_06909,2026-08-20T05:00:00,81,1.87,1.99,1.78,3.03,1.01,0,0,0,0,160.9,-0.7281,49.83,SAFE
MILK_06910,2026-08-12T18:00:00,145,1.48,1.54,1.18,2.86,1.57,0,0,0,0,223.29,-0.5313,0.0,UNSAFE
MILK_06911,2026-08-02T07:00:00,12,3.72,3.48,2.58,4.7,2.34,0,0,0,0,41.79,-0.8627,112.38,SAFE
MILK_06912,2026-08-16T04:00:00,66,3.54,3.98,3.63,5.27,1.81,0,0,0,0,262.78,-0.898,34.97,SAFE
MILK_06913,2026-08-04T07:00:00,112,4.56,4.87,3.26,5.36,1.17,0,0,0,0,545.53,0.295,13.12,CAUTION
MILK_06914,2026-08-14T11:00:00,58,8.99,5.71,2.79,9.72,0.99,17,14,4,16,330.9,-0.8152,54.04,UNSAFE
MILK_06915,2026-08-19T05:00:00,92,10.71,5.75,4.56,11.57,2.33,12,2,3,2,529.23,0.3379,0.0,UNSAFE
MILK_06916,2026-08-27T03:00:00,92,0.5,0.47,0.07,1.29,1.2,0,0,0,0,43.63,-1.1089,0.0,UNSAFE
MILK_06917,2026-08-09T08:00:00,28,2.15,2.07,1.15,2.63,0.95,0,0,0,0,57.88,-0.6116,137.44,SAFE
MILK_06918,2026-08-12T20:00:00,163,5.69,5.28,4.7,5.88,2.35,0,0,0,0,860.37,0.4121,0.0,UNSAFE
MILK_06919,2026-08-21T10:00:00,133,24.26,20.35,18.21,25.25,0.3,19,11,3,3,2706.46,0.9282,0.0,UNSAFE
MILK_06920,2026-08-06T07:00:00,143,1.56,1.12,0.84,1.96,2.47,0,0,0,0,160.27,-0.9352,6.77,SAFE
MILK_06921,2026-08-24T10:00:00,100,3.19,2.89,2.54,3.59,1.63,0,0,0,0,288.79,0.3914,0.0,UNSAFE
MILK_06922,2026-08-05T04:00:00,118,1.55,1.37,0.47,2.71,0.16,0,0,0,0,161.17,0.8732,0.0,UNSAFE
MILK_06923,2026-08-19T07:00:00,50,5.23,4.45,3.15,6.11,1.17,44,0,4,37,222.69,1.3928,43.99,CAUTION
MILK_06924,2026-08-12T05:00:00,148,3.79,3.84,3.48,4.7,0.19,0,0,0,0,568.33,-1.4328,0.0,UNSAFE
MILK_06925,2026-08-28T12:00:00,37,5.96,6.37,4.85,6.36,0.43,25,0,3,15,235.61,0.2327,90.08,CAUTION
MILK_06926,2026-08-04T17:00:00,37,3.74,3.45,2.65,4.69,1.64,0,0,0,0,127.71,1.163,93.01,SAFE
MILK_06927,2026-08-14T01:00:00,118,1.25,1.65,1.2,3.15,0.98,0,0,0,0,195.02,1.067,0.0,UNSAFE
MILK_06928,2026-08-01T17:00:00,9,5.8,5.64,4.28,6.2,0.52,6,0,4,5,50.78,1.1341,61.11,CAUTION
MILK_06929,2026-08-16T09:00:00,33,1.99,2.22,1.55,3.69,0.89,0,0,0,0,73.3,-1.2951,128.95,SAFE
MILK_06930,2026-08-09T04:00:00,166,8.62,6.51,5.34,9.45,2.32,63,62,4,54,1081.12,0.9337,0.0,UNSAFE
MILK_06931,2026-08-08T05:00:00,28,4.78,3.98,2.95,5.58,1.55,0,0,0,0,111.4,0.5815,132.04,CAUTION
MILK_06932,2026-08-05T13:00:00,141,8.92,5.61,2.97,11.71,1.37,30,28,1,4,791.22,-1.3639,0.0,UNSAFE
MILK_06933,2026-08-15T19:00:00,103,4.82,4.23,2.54,5.39,0.43,0,0,0,0,435.58,-0.7248,20.07,CAUTION
MILK_06934,2026-08-30T10:00:00,143,0.97,0.74,-0.01,1.92,1.6,0,0,0,0,105.31,-0.733,0.0,UNSAFE
MILK_06935,2026-08-13T13:00:00,83,3.18,2.97,2.28,3.53,0.8,0,0,0,0,246.53,-0.2575,53.31,SAFE
MILK_06936,2026-08-26T13:00:00,71,2.54,2.24,1.85,2.82,1.05,0,0,0,0,159.15,-0.4656,90.75,SAFE
MILK_06937,2026-08-30T21:00:00,34,5.21,5.36,4.45,5.91,2.05,0,0,0,0,182.26,-0.8325,97.66,CAUTION
MILK_06938,2026-08-29T23:00:00,134,5.52,5.31,4.56,6.51,1.53,1,0,3,1,711.78,-0.29,13.29,CAUTION
MILK_06939,2026-08-10T07:00:00,10,4.87,4.61,2.96,5.43,2.35,0,0,0,0,46.12,-0.5604,133.36,CAUTION
MILK_06940,2026-08-17T06:00:00,100,4.21,4.56,3.42,4.35,1.68,0,0,0,0,455.66,-1.1169,48.61,CAUTION
MILK_06941,2026-08-22T12:00:00,117,9.15,7.46,5.69,9.85,0.11,53,41,2,47,872.71,0.0945,0.0,UNSAFE
MILK_06942,2026-08-01T15:00:00,31,5.17,5.03,3.87,5.18,0.74,0,0,0,0,156.08,-1.3372,117.48,CAUTION
MILK_06943,2026-08-05T01:00:00,64,1.28,1.66,1.53,2.79,1.52,0,0,0,0,106.22,-0.1402,92.43,SAFE
MILK_06944,2026-08-09T05:00:00,12,6.5,7.71,6.6,7.99,0.68,4,0,4,1,92.51,-0.8177,102.04,UNSAFE
MILK_06945,2026-08-01T00:00:00,97,2.95,3.44,2.86,4.28,0.3,0,0,0,0,333.61,-0.897,5.91,SAFE
MILK_06946,2026-08-21T08:00:00,28,11.58,4.32,2.76,14.5,1.34,3,2,3,2,120.92,1.3994,94.58,UNSAFE
MILK_06947,2026-08-03T05:00:00,85,1.79,1.56,0.7,2.81,2.49,0,0,0,0,132.73,0.5177,56.23,SAFE
MILK_06948,2026-08-15T13:00:00,155,1.56,1.43,0.63,2.79,1.75,0,0,0,0,221.61,-0.0194,8.89,SAFE
MILK_06949,2026-08-07T20:00:00,160,10.24,7.36,6.14,12.19,0.93,68,26,2,17,1177.97,0.3219,0.0,UNSAFE
MILK_06950,2026-08-27T23:00:00,6,2.53,2.18,1.64,2.7,1.22,0,0,0,0,13.08,0.3604,133.31,SAFE
MILK_06951,2026-08-20T16:00:00,129,0.74,0.92,0.39,2.21,0.64,0,0,0,0,118.63,-0.571,0.0,UNSAFE
MILK_06952,2026-08-21T11:00:00,48,2.25,2.0,1.85,2.14,0.62,0,0,0,0,96.15,1.212,94.34,SAFE
MILK_06953,2026-08-15T10:00:00,89,0.78,0.61,0.45,0.8,1.8,0,0,0,0,54.11,0.9504,0.0,UNSAFE
MILK_06954,2026-08-07T02:00:00,37,22.42,22.59,17.75,24.4,1.96,22,18,2,7,835.75,1.3188,0.0,UNSAFE
MILK_06955,2026-08-13T23:00:00,112,0.94,1.1,0.44,2.04,0.57,0,0,0,0,122.74,-0.7933,0.0,UNSAFE
MILK_06956,2026-08-15T21:00:00,146,2.53,2.4,1.76,3.62,1.35,0,0,0,0,350.58,0.6832,0.0,UNSAFE
MILK_06957,2026-08-26T10:00:00,44,1.71,2.07,1.57,3.32,0.89,0,0,0,0,91.08,0.6004,38.16,SAFE
MILK_06958,2026-08-16T15:00:00,90,23.21,19.26,16.38,23.55,1.81,12,10,4,7,1733.7,1.0782,0.0,UNSAFE
MILK_06959,2026-08-04T05:00:00,58,1.36,1.54,0.56,2.43,0.51,0,0,0,0,89.35,-1.4724,109.74,SAFE
MILK_06960,2026-08-07T14:00:00,139,7.49,5.66,3.28,10.0,0.89,41,24,4,27,787.09,0.5255,0.0,UNSAFE
MILK_06961,2026-08-09T20:00:00,17,3.1,2.89,2.07,4.22,1.75,0,0,0,0,49.11,0.1022,143.52,SAFE
MILK_06962,2026-08-26T05:00:00,142,1.35,0.99,0.83,2.24,1.03,0,0,0,0,140.24,0.0001,4.56,SAFE
MILK_06963,2026-08-24T06:00:00,122,2.89,2.65,2.15,3.33,1.93,0,0,0,0,323.38,-0.8231,32.93,SAFE
MILK_06964,2026-08-04T02:00:00,88,3.31,3.32,2.69,4.71,1.09,0,0,0,0,291.99,1.476,32.93,SAFE
MILK_06965,2026-08-02T07:00:00,141,2.91,3.03,2.75,4.1,0.52,0,0,0,0,427.18,-0.6313,0.0,UNSAFE
MILK_06966,2026-08-02T14:00:00,146,2.42,2.78,2.06,4.25,0.23,0,0,0,0,405.84,-0.927,0.0,UNSAFE
MILK_06967,2026-08-14T17:00:00,4,5.35,4.78,4.0,5.61,0.87,0,0,0,0,19.13,1.2317,117.22,CAUTION
MILK_06968,2026-08-27T20:00:00,71,24.63,20.49,16.59,26.47,0.96,41,35,4,6,1454.89,-0.937,0.0,UNSAFE
MILK_06969,2026-08-21T16:00:00,102,1.72,1.77,1.5,3.14,0.32,0,0,0,0,180.11,0.1064,0.0,UNSAFE
MILK_06970,2026-08-28T23:00:00,39,10.62,5.91,3.18,13.24,0.8,31,24,2,9,230.33,-0.6451,68.8,UNSAFE
MILK_06971,2026-08-30T20:00:00,149,4.61,4.94,3.24,5.42,0.59,0,0,0,0,736.21,0.1523,0.0,UNSAFE
MILK_06972,2026-08-05T00:00:00,102,2.66,3.05,2.63,3.58,0.39,0,0,0,0,310.6,-1.4563,45.79,SAFE
MILK_06973,2026-08-25T09:00:00,142,23.58,19.26,14.58,24.94,2.39,44,2,3,39,2735.09,-0.8883,0.0,UNSAFE
MILK_06974,2026-08-19T16:00:00,102,9.58,6.86,5.72,11.52,1.67,63,36,3,31,700.1,-1.4306,34.84,UNSAFE
MILK_06975,2026-08-22T20:00:00,15,24.82,18.08,13.88,25.87,1.59,11,7,4,5,271.13,1.1573,0.0,UNSAFE
MILK_06976,2026-08-27T16:00:00,103,3.73,3.46,3.23,4.06,2.48,0,0,0,0,356.23,-1.0111,52.51,SAFE
MILK_06977,2026-08-12T09:00:00,32,1.19,1.54,0.64,2.41,1.74,0,0,0,0,49.29,0.5537,90.98,SAFE
MILK_06978,2026-08-13T19:00:00,14,2.12,1.63,1.45,1.86,1.65,0,0,0,0,22.79,1.4062,93.2,SAFE
MILK_06979,2026-08-04T18:00:00,70,22.21,19.71,15.25,22.46,1.97,35,6,3,4,1379.86,-0.4599,0.0,UNSAFE
MILK_06980,2026-08-22T09:00:00,39,4.46,4.76,3.05,4.91,1.41,0,0,0,0,185.46,0.4833,99.6,CAUTION
MILK_06981,2026-08-17T05:00:00,3,2.34,2.44,1.71,3.25,1.13,0,0,0,0,7.31,-0.2777,99.68,SAFE
MILK_06982,2026-08-21T00:00:00,75,22.16,22.54,19.05,22.57,2.22,40,7,2,17,1690.38,0.6154,0.0,UNSAFE
MILK_06983,2026-08-06T10:00:00,128,3.0,2.8,1.87,4.27,0.66,0,0,0,0,358.51,1.2081,12.42,SAFE
MILK_06984,2026-08-08T01:00:00,155,2.89,2.92,2.66,3.98,0.22,0,0,0,0,453.31,1.0048,0.0,UNSAFE
MILK_06985,2026-08-10T22:00:00,79,0.64,0.68,0.11,0.87,0.77,0,0,0,0,53.51,0.9943,29.81,SAFE
MILK_06986,2026-08-10T07:00:00,58,24.85,23.84,19.95,26.73,0.68,11,10,2,3,1382.64,0.9448,0.0,UNSAFE
MILK_06987,2026-08-14T19:00:00,141,4.78,4.09,2.81,5.14,2.37,0,0,0,0,576.99,-1.3832,4.18,CAUTION
MILK_06988,2026-08-10T15:00:00,50,2.75,2.64,1.9,4.07,2.1,0,0,0,0,132.04,-0.0742,75.98,SAFE
MILK_06989,2026-08-29T23:00:00,121,9.48,5.91,4.79,9.71,0.66,53,31,1,44,715.51,-0.6051,28.4,UNSAFE
MILK_06990,2026-08-11T07:00:00,38,6.7,4.66,2.96,7.56,0.89,16,0,1,2,177.21,-0.4217,85.83,UNSAFE
MILK_06991,2026-08-17T00:00:00,68,5.42,5.36,3.93,5.64,1.53,0,0,0,0,364.65,0.1322,56.5,CAUTION
MILK_06992,2026-08-09T04:00:00,144,1.37,1.09,0.37,1.71,1.16,0,0,0,0,156.8,0.4308,0.0,UNSAFE
MILK_06993,2026-08-08T03:00:00,133,8.92,5.2,2.4,11.04,2.26,19,8,3,16,691.03,-0.3991,22.36,UNSAFE
MILK_06994,2026-08-13T21:00:00,116,5.8,5.29,3.76,6.57,1.51,25,0,2,14,613.3,-0.2452,0.0,UNSAFE
MILK_06995,2026-08-21T01:00:00,19,5.56,5.03,4.53,6.19,0.48,10,0,4,2,95.52,1.3384,111.84,CAUTION
MILK_06996,2026-08-13T22:00:00,69,24.55,22.77,19.75,25.12,2.11,48,13,3,38,1570.83,-1.3944,0.0,UNSAFE
MILK_06997,2026-08-09T21:00:00,159,4.47,4.64,3.53,5.01,2.01,0,0,0,0,737.47,0.0781,0.0,UNSAFE
MILK_06998,2026-08-28T16:00:00,50,2.36,2.22,1.43,2.83,0.88,0,0,0,0,110.96,-0.4266,44.54,SAFE
MILK_06999,2026-08-13T13:00:00,118,4.15,4.22,3.09,4.37,0.3,0,0,0,0,497.37,-0.5776,0.0,UNSAFE
MILK_07000,2026-08-22T23:00:00,113,0.99,0.81,-0.12,1.9,1.2,0,0,0,0,91.85,-1.4822,45.11,SAFE
MILK_07001,2026-08-12T00:00:00,103,6.26,6.07,4.13,8.18,0.19,56,49,4,1,625.45,0.4541,0.0,UNSAFE
MILK_07002,2026-08-12T05:00:00,38,8.25,6.42,4.89,9.78,0.45,10,5,2,1,243.89,0.5001,96.45,UNSAFE
MILK_07003,2026-08-11T14:00:00,20,23.53,18.54,16.4,24.53,1.35,5,2,3,3,370.73,-0.1529,0.0,UNSAFE
MILK_07004,2026-08-14T03:00:00,76,1.41,1.07,0.9,2.43,0.33,0,0,0,0,81.42,1.101,68.15,SAFE
MILK_07005,2026-08-01T12:00:00,92,4.36,3.78,2.66,4.8,0.89,0,0,0,0,347.81,1.397,19.2,CAUTION
MILK_07006,2026-08-11T04:00:00,5,0.91,0.84,0.28,2.25,2.1,0,0,0,0,4.18,-0.9163,123.65,SAFE
MILK_07007,2026-08-02T02:00:00,64,22.29,21.39,16.81,22.82,0.99,29,5,1,14,1368.97,-1.3361,0.0,UNSAFE
MILK_07008,2026-08-29T23:00:00,107,5.6,4.61,2.63,5.88,0.92,0,0,0,0,492.8,0.2047,0.0,UNSAFE
MILK_07009,2026-08-19T08:00:00,60,24.35,19.75,16.91,26.29,1.2,45,39,3,30,1184.78,0.5085,0.0,UNSAFE
MILK_07010,2026-08-07T10:00:00,15,0.99,1.41,1.22,1.76,0.79,0,0,0,0,21.08,1.1957,142.83,SAFE
MILK_07011,2026-08-16T22:00:00,30,4.77,3.83,2.95,5.46,2.01,0,0,0,0,114.89,0.7094,96.15,CAUTION
MILK_07012,2026-08-29T10:00:00,99,10.61,6.08,4.6,12.85,0.65,34,3,3,24,601.55,0.2176,23.42,UNSAFE
MILK_07013,2026-08-24T16:00:00,12,5.36,5.47,4.74,5.58,0.53,0,0,0,0,65.6,0.6549,62.47,CAUTION
MILK_07014,2026-08-28T14:00:00,14,4.15,4.61,3.23,4.36,1.22,0,0,0,0,64.49,1.4965,129.04,CAUTION
MILK_07015,2026-08-21T15:00:00,79,3.15,3.09,2.64,3.89,2.38,0,0,0,0,244.49,0.1051,30.66,SAFE
MILK_07016,2026-08-27T00:00:00,97,7.93,4.73,1.88,10.01,1.81,27,2,3,18,458.59,0.468,40.25,UNSAFE
MILK_07017,2026-08-16T17:00:00,121,1.06,0.65,0.12,1.89,2.45,0,0,0,0,79.03,1.0018,28.37,SAFE
MILK_07018,2026-08-20T23:00:00,88,3.09,2.77,1.79,3.33,1.75,0,0,0,0,243.49,-0.7053,19.66,SAFE
MILK_07019,2026-08-12T00:00:00,37,23.07,23.49,20.27,24.99,2.1,32,20,4,9,869.02,-0.2158,0.0,UNSAFE
MILK_07020,2026-08-08T00:00:00,14,1.8,1.38,0.63,2.49,0.77,0,0,0,0,19.36,-0.8354,79.56,SAFE
MILK_07021,2026-08-26T15:00:00,48,4.43,4.54,3.69,4.89,2.05,0,0,0,0,218.08,0.1743,84.1,CAUTION
MILK_07022,2026-08-08T02:00:00,87,5.77,5.66,4.22,6.18,1.79,62,0,4,2,492.79,1.3758,40.53,CAUTION
MILK_07023,2026-08-27T04:00:00,63,3.56,3.52,3.16,3.69,0.77,0,0,0,0,221.54,0.8722,97.9,SAFE
MILK_07024,2026-08-15T01:00:00,113,10.29,4.63,3.31,12.42,1.91,28,13,1,16,522.7,-0.029,17.63,UNSAFE
MILK_07025,2026-08-25T01:00:00,119,4.48,4.34,2.74,4.69,1.96,0,0,0,0,515.99,-1.1264,0.0,UNSAFE
MILK_07026,2026-08-10T02:00:00,123,5.4,5.34,3.49,6.21,0.11,38,0,2,21,656.23,-0.8534,34.18,CAUTION
MILK_07027,2026-08-08T19:00:00,114,5.66,5.06,3.56,6.65,0.76,20,0,2,17,576.84,1.2846,0.0,UNSAFE
MILK_07028,2026-08-27T22:00:00,111,1.93,1.61,1.17,1.8,0.85,0,0,0,0,178.84,-0.6618,50.66,SAFE
MILK_07029,2026-08-10T15:00:00,100,2.24,2.63,1.79,3.36,1.75,0,0,0,0,262.86,0.1821,37.06,SAFE
MILK_07030,2026-08-09T13:00:00,30,2.4,2.49,1.6,3.55,2.45,0,0,0,0,74.74,-0.1448,112.31,SAFE
MILK_07031,2026-08-15T22:00:00,52,1.79,1.81,1.17,2.11,1.39,0,0,0,0,94.0,0.8805,64.9,SAFE
MILK_07032,2026-08-29T17:00:00,21,4.32,4.7,3.45,5.27,1.97,0,0,0,0,98.69,0.6471,91.19,CAUTION
MILK_07033,2026-08-11T23:00:00,58,3.1,2.76,2.38,4.2,1.0,0,0,0,0,160.35,1.3384,88.75,SAFE
MILK_07034,2026-08-15T17:00:00,126,2.13,2.19,1.36,3.67,0.32,0,0,0,0,275.64,-0.9545,1.42,SAFE
MILK_07035,2026-08-07T07:00:00,8,3.61,3.68,2.87,4.23,1.27,0,0,0,0,29.43,-0.4898,113.55,SAFE
MILK_07036,2026-08-28T19:00:00,141,22.73,22.2,18.9,22.96,0.91,63,46,3,23,3129.71,0.736,0.0,UNSAFE
MILK_07037,2026-08-28T16:00:00,20,1.94,1.78,1.15,2.96,1.22,0,0,0,0,35.61,-0.938,125.0,SAFE
MILK_07038,2026-08-28T10:00:00,46,1.52,2.0,1.8,2.41,1.01,0,0,0,0,91.97,-0.0066,70.41,SAFE
MILK_07039,2026-08-12T03:00:00,32,1.36,0.99,0.68,2.0,2.45,0,0,0,0,31.7,0.6891,85.24,SAFE
MILK_07040,2026-08-21T09:00:00,161,6.73,5.9,4.84,7.77,0.39,33,0,4,27,949.34,-0.8201,4.98,UNSAFE
MILK_07041,2026-08-29T12:00:00,71,0.58,0.57,0.46,0.73,1.06,0,0,0,0,40.71,-0.5239,53.99,SAFE
MILK_07042,2026-08-03T02:00:00,36,10.01,5.36,3.99,10.19,2.01,21,20,2,18,193.1,0.1836,40.78,UNSAFE
MILK_07043,2026-08-10T10:00:00,55,23.55,21.41,16.71,24.29,1.48,44,19,4,13,1177.28,-0.6713,0.0,UNSAFE
MILK_07044,2026-08-08T03:00:00,57,23.88,21.53,17.15,25.77,1.78,37,25,3,13,1227.08,0.1123,0.0,UNSAFE
MILK_07045,2026-08-19T23:00:00,107,3.56,4.05,3.75,4.93,1.9,0,0,0,0,433.56,0.9105,0.0,UNSAFE
MILK_07046,2026-08-25T10:00:00,43,24.54,23.98,20.9,26.42,1.51,32,3,3,17,1031.13,0.8059,0.0,UNSAFE
MILK_07047,2026-08-10T09:00:00,36,4.14,4.59,3.64,4.51,1.22,0,0,0,0,165.12,0.1773,34.94,CAUTION
MILK_07048,2026-08-29T12:00:00,95,4.57,4.56,3.89,5.03,0.38,0,0,0,0,432.81,1.2772,46.56,CAUTION
MILK_07049,2026-08-23T05:00:00,147,11.61,6.59,5.11,13.51,2.44,57,39,1,14,968.66,1.339,0.0,UNSAFE
MILK_07050,2026-08-12T19:00:00,160,3.34,2.89,2.29,3.47,2.24,0,0,0,0,462.79,-0.4179,0.65,SAFE
MILK_07051,2026-08-09T06:00:00,123,4.16,3.53,2.71,4.79,0.52,0,0,0,0,433.71,-0.7647,0.0,UNSAFE
MILK_07052,2026-08-08T23:00:00,82,1.27,1.34,1.12,2.23,0.64,0,0,0,0,109.78,-1.4731,62.55,SAFE
MILK_07053,2026-08-24T13:00:00,86,3.27,3.25,2.26,4.32,1.1,0,0,0,0,279.49,1.4327,77.13,SAFE
MILK_07054,2026-08-22T18:00:00,55,2.78,2.67,2.44,3.5,1.33,0,0,0,0,146.83,0.3305,59.28,SAFE
MILK_07055,2026-08-14T06:00:00,143,2.31,2.59,2.24,3.31,0.89,0,0,0,0,370.61,0.4903,2.95,SAFE
MILK_07056,2026-08-15T00:00:00,75,3.23,3.66,3.15,4.88,1.74,0,0,0,0,274.41,1.2782,0.0,UNSAFE
MILK_07057,2026-08-30T09:00:00,58,4.63,4.25,3.08,5.51,0.78,0,0,0,0,246.64,-0.4125,86.51,CAUTION
MILK_07058,2026-08-19T03:00:00,133,1.19,1.19,0.31,1.64,1.9,0,0,0,0,158.58,1.1619,0.0,UNSAFE
MILK_07059,2026-08-05T16:00:00,112,1.87,1.91,1.18,2.36,1.88,0,0,0,0,213.37,-1.1122,0.0,UNSAFE
MILK_07060,2026-08-22T04:00:00,120,2.81,3.26,2.55,3.39,1.14,0,0,0,0,390.65,-0.0726,37.58,SAFE
MILK_07061,2026-08-27T00:00:00,85,2.01,1.74,1.33,1.97,0.73,0,0,0,0,147.62,-1.0436,6.06,SAFE
MILK_07062,2026-08-28T03:00:00,65,2.82,3.19,2.36,3.63,0.41,0,0,0,0,207.44,-0.1682,10.9,SAFE
MILK_07063,2026-08-08T15:00:00,13,22.94,22.69,20.27,24.44,1.09,6,3,1,1,294.94,-1.2336,0.0,UNSAFE
MILK_07064,2026-08-14T04:00:00,30,0.92,1.14,0.27,1.27,1.94,0,0,0,0,34.32,-1.386,75.15,SAFE
MILK_07065,2026-08-30T10:00:00,73,0.58,0.93,0.79,1.24,2.19,0,0,0,0,67.94,0.0524,70.38,SAFE
MILK_07066,2026-08-13T19:00:00,121,3.05,2.85,2.02,3.31,1.35,0,0,0,0,344.41,0.6935,0.0,UNSAFE
MILK_07067,2026-08-29T00:00:00,161,5.36,4.38,3.13,6.14,0.72,23,0,2,17,705.4,0.6774,0.0,UNSAFE
MILK_07068,2026-08-06T13:00:00,115,3.01,2.99,2.35,3.92,0.59,0,0,0,0,343.66,-0.4589,6.43,SAFE
MILK_07069,2026-08-21T01:00:00,75,9.92,6.82,4.98,11.93,0.74,55,13,1,31,511.41,1.3995,45.29,UNSAFE
MILK_07070,2026-08-03T15:00:00,39,0.76,1.15,0.71,2.33,1.97,0,0,0,0,44.81,1.0628,36.68,SAFE
MILK_07071,2026-08-06T12:00:00,68,1.34,1.77,1.08,2.62,2.5,0,0,0,0,120.68,1.4598,42.37,SAFE
MILK_07072,2026-08-12T17:00:00,38,0.67,0.99,0.2,2.42,1.83,0,0,0,0,37.71,-0.1099,59.92,SAFE
MILK_07073,2026-08-03T10:00:00,4,1.34,1.47,0.62,2.28,1.5,0,0,0,0,5.86,-1.3514,162.93,SAFE
MILK_07074,2026-08-23T21:00:00,148,7.35,7.73,6.57,10.31,2.04,22,1,1,9,1144.16,0.0137,0.0,UNSAFE
MILK_07075,2026-08-27T08:00:00,128,24.68,23.13,19.19,25.03,1.69,61,50,2,31,2961.19,-0.5666,0.0,UNSAFE
MILK_07076,2026-08-18T13:00:00,64,5.71,5.04,3.67,5.84,1.21,0,0,0,0,322.72,-0.7527,74.74,CAUTION
MILK_07077,2026-08-09T14:00:00,66,7.25,5.39,2.94,9.21,2.43,63,37,3,27,355.88,-0.9573,68.92,UNSAFE
MILK_07078,2026-08-25T03:00:00,11,11.83,5.72,4.5,12.4,2.48,3,1,4,1,62.9,1.1892,129.32,UNSAFE
MILK_07079,2026-08-10T09:00:00,59,23.35,23.68,20.18,23.9,0.18,40,5,2,2,1397.4,0.7264,0.0,UNSAFE
MILK_07080,2026-08-20T03:00:00,111,5.63,4.66,3.79,6.27,1.33,46,0,3,10,517.59,0.9699,0.0,UNSAFE
MILK_07081,2026-08-09T17:00:00,99,0.84,1.19,0.28,2.11,1.98,0,0,0,0,118.09,-0.7337,9.88,SAFE
MILK_07082,2026-08-10T11:00:00,141,1.35,1.03,0.54,2.38,2.09,0,0,0,0,145.16,0.8467,0.0,UNSAFE
MILK_07083,2026-08-09T12:00:00,96,0.68,0.95,0.24,1.18,0.6,0,0,0,0,91.07,-0.4032,66.19,SAFE
MILK_07084,2026-08-02T10:00:00,134,3.49,3.66,2.69,3.99,2.49,0,0,0,0,490.2,-0.7959,0.0,UNSAFE
MILK_07085,2026-08-07T14:00:00,104,23.58,20.67,18.18,25.56,1.41,53,2,3,47,2149.72,0.4899,0.0,UNSAFE
MILK_07086,2026-08-19T11:00:00,4,24.48,19.31,15.28,25.14,0.57,3,2,4,2,77.26,-0.5162,3.57,UNSAFE
MILK_07087,2026-08-28T17:00:00,151,7.75,5.49,4.48,9.0,1.3,19,5,1,16,829.36,-1.3701,0.0,UNSAFE
MILK_07088,2026-08-29T22:00:00,82,3.56,3.59,2.78,4.08,0.66,0,0,0,0,294.4,-0.9242,51.19,SAFE
MILK_07089,2026-08-08T17:00:00,95,5.14,4.59,3.26,5.84,1.64,0,0,0,0,436.11,-1.2092,0.0,UNSAFE
MILK_07090,2026-08-06T23:00:00,26,3.54,3.75,3.19,5.12,1.52,0,0,0,0,97.52,-1.3012,97.58,SAFE
MILK_07091,2026-08-24T23:00:00,79,23.43,22.84,19.55,24.71,1.79,62,60,3,50,1804.5,-0.1382,0.0,UNSAFE
MILK_07092,2026-08-07T01:00:00,93,3.37,3.02,2.45,3.72,2.1,0,0,0,0,281.23,0.5427,0.0,UNSAFE
MILK_07093,2026-08-07T17:00:00,111,2.44,2.61,2.47,2.9,0.25,0,0,0,0,289.95,1.0678,7.21,SAFE
MILK_07094,2026-08-05T16:00:00,132,3.67,3.62,2.84,4.47,1.54,0,0,0,0,478.39,0.78,33.27,SAFE
MILK_07095,2026-08-10T20:00:00,98,2.28,2.28,1.44,3.57,0.57,0,0,0,0,223.43,0.4039,0.0,UNSAFE
MILK_07096,2026-08-13T07:00:00,138,4.86,4.56,3.33,5.71,1.0,0,0,0,0,628.82,1.1545,0.0,UNSAFE
MILK_07097,2026-08-22T18:00:00,160,4.81,3.93,2.34,5.02,1.14,0,0,0,0,629.07,-0.8664,0.0,UNSAFE
MILK_07098,2026-08-08T11:00:00,112,4.63,5.1,3.36,4.91,2.43,0,0,0,0,571.34,0.5162,25.29,CAUTION
MILK_07099,2026-08-30T04:00:00,11,1.89,1.52,0.9,3.01,0.78,0,0,0,0,16.71,-1.3712,120.87,SAFE
MILK_07100,2026-08-21T01:00:00,99,1.11,1.06,0.96,1.18,1.04,0,0,0,0,104.83,-0.8368,0.0,UNSAFE
MILK_07101,2026-08-15T23:00:00,34,5.33,5.02,3.11,5.44,0.57,0,0,0,0,170.72,0.4762,117.04,CAUTION
MILK_07102,2026-08-28T02:00:00,93,2.68,2.91,1.97,4.07,2.27,0,0,0,0,270.64,0.8097,52.59,SAFE
